Date,RGDP,GDPDef,CPI,CPI Seasonally Adjusted,M0,M1,M1 Seasonally Adjusted,M2,M3,M3 Seasonally Adjusted ,,,,,
30/06/1966,1179145,0.850531529,1.562493963,1.572597167,1531,4659,4782,9576,14790,14881,,,,,
30/09/1966,1196517,0.857823165,1.577546891,1.578210703,1566,4912,4926,9777,15314,15354,,,,,
31/12/1966,1200454,0.881000022,1.600126284,1.595147265,1634,5041,5047,10133,15880,15886,,,,,
31/03/1967,1244097,0.873806464,1.610663334,1.609612294,1686,5117,5010,10279,16241,16106,,,,,
30/06/1967,1246074,0.89047681,1.625716262,1.631787729,1643,5050,5129,10203,16253,16353,,,,,
30/09/1967,1308731,0.889411193,1.642274483,1.640645551,1650,5112,5117,10354,16568,16608,,,,,
31/12/1967,1284968,0.902434924,1.639263898,1.636191274,1739,5116,5164,10521,16819,16825,,,,,
31/03/1968,1306065,0.911746353,1.643779776,1.645673064,1762,5355,5263,10921,17302,17156,,,,,
30/06/1968,1311856,0.912295252,1.654316826,1.656094352,1753,5402,5429,10990,17515,17629,,,,,
30/09/1968,1326015,0.925555141,1.669369754,1.666868381,1799,5586,5588,11285,18144,18187,,,,,
31/12/1968,1351085,0.945832424,1.679906804,1.678467873,1855,5697,5774,11729,18817,18825,,,,,
31/03/1969,1360795,0.971784876,1.69345444,1.697761621,1994,6392,6255,12721,19730,19564,,,,,
30/06/1969,1359647,0.993125422,1.710012661,1.708704664,2086,6426,6463,12806,19923,20065,,,,,
30/09/1969,1421739,0.989281436,1.719044418,1.716914339,2160,6544,6555,12891,20394,20435,,,,,
31/12/1969,1402548,1.014653331,1.740118518,1.737192736,2176,6544,6618,13209,20678,20674,,,,,
31/03/1970,1432738,1.014351542,1.747644982,1.753585523,2215,6776,6639,13797,21809,21630,,,,,
30/06/1970,1461974,1.037501351,1.793635639,1.794688496,2253,6765,6842,14027,21671,21843,,,,,
30/09/1970,1445096,1.038408521,1.824296078,1.822085374,2302,7018,7033,14837,22433,22463,,,,,
31/12/1970,1495942,1.06401184,1.839626297,1.832052243,2363,7112,7128,15136,22952,22927,,,,,
31/03/1971,1518099,1.053752094,1.854956516,1.861801797,2432,7246,7105,15419,23587,23411,,,,,
30/06/1971,1505723,1.089709063,1.885616954,1.890634536,2455,6921,7054,15227,23797,24003,,,,,
30/09/1971,1525337,1.113852218,1.916277392,1.914679568,2408,7119,7122,15622,24539,24549,,,,,
31/12/1971,1536301,1.144307008,1.977598269,1.964200621,2477,7251,7220,15870,24953,24900,,,,,
31/03/1972,1527244,1.181278172,1.977598269,1.985238109,2559,7517,7417,16359,25582,25420,,,,,
30/06/1972,1543222,1.18511789,1.977598269,1.986939138,2561,7478,7624,16274,25842,26077,,,,,
30/09/1972,1544175,1.228358185,2.054249365,2.050011677,2624,7804,7775,16725,26765,26749,,,,,
31/12/1972,1571522,1.27812401,2.115570241,2.102448124,2680,8265,8243,17524,28242,28164,,,,,
31/03/1973,1591790,1.339435478,2.13090046,2.139729346,2737,8540,8468,18339,29548,29407,,,,,
30/06/1973,1584710,1.397353459,2.207551556,2.21481938,2711,8358,8481,18809,30442,30598,,,,,
30/09/1973,1630542,1.457490822,2.253542214,2.247889486,2884,9064,8978,20395,32853,32750,,,,,
31/12/1973,1661950,1.510394416,2.299532871,2.291723189,3039,9236,9277,21317,34620,34613,,,,,
31/03/1974,1693005,1.564614399,2.360853747,2.36975043,3241,9642,9616,22033,35844,35797,,,,,
30/06/1974,1716274,1.607493908,2.437504843,2.441305363,3356,10427,10495,22969,37004,37198,,,,,
30/09/1974,1735712,1.637253185,2.529486158,2.51969806,3499,10957,10834,24231,39060,38937,,,,,
31/12/1974,1719328,1.744518789,2.606137254,2.606667788,3659,10786,10872,24882,39953,39944,,,,,
31/03/1975,1712443,1.789431823,2.698118569,2.707782827,3826,11558,11513,26601,41903,41844,,,,,
30/06/1975,1741962,1.779028475,2.774769664,2.771880817,3937,11962,12059,27768,44011,44243,,,,,
30/09/1975,1755909,1.845312029,2.866750979,2.855106296,4025,12216,12094,28931,45963,45828,,,,,
31/12/1975,1770386,1.857391552,2.928071856,2.933810925,4209,12429,12471,30094,48163,48155,,,,,
31/03/1976,1793655,1.907613226,2.989392732,2.999833896,4399,12782,12716,31667,50383,50294,,,,,
30/06/1976,1757868,2.026147583,3.096704266,3.09373475,4396,12435,12619,32472,51430,51701,,,,,
